Paises,Continentes,Tasa_no_escolaridad_Preescolar_Hombres,Tasa_no_escolaridad_Preescolar_Mujeres,Tasa_no_escolaridad_Primaria_Hombres,Tasa_no_escolaridad_Primaria_Mujeres,Tasa_no_escolaridad_SecundariaInferior_Hombres,Tasa_no_escolaridad_SecundariaInferior_Mujeres,Tasa_no_escolaridad_SecundariaSuperior_Hombres,Tasa_no_escolaridad_SecundariaSuperior_Mujeres,Tasa_Finalización_Primaria_Hombres,Tasa_Finalización_Primaria_Mujeres,Tasa_Finalización_SecundariaInferior_Hombres,Tasa_Finalización_SecundariaInferior_Mujeres,Tasa_Finalización_SecundariaSuperior_Hombres,Tasa_Finalización_SecundariaSuperior_Mujeres,Competencia_Lectora_Primaria,Competencia_Matemática_Primaria,Competencia_Lectora_SecundariaInferior,Competencia_Matemática_SecundariaInferior,Tasa_Alfabetización_Hombres_15-24_años,Tasa_Alfabetización_Mujeres_15-24_años,Tasa_Natalidad,Matrícula_Bruta_Primaria,Matrícula_Bruta_Terciaria,Tasa_Desempleo
Republic of the Congo,Africa,71,70,15,16,0,0,0,0,78,82,56,45,28,19,17,6,0,0,85,79,32.86,106.6,12.7,9.47
Cook Islands,Oceania,3,0,2,2,4,6,30,27,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Costa Rica,America,4,4,3,3,3,1,7,5,98,99,70,76,56,60,68,60,58,40,99,100,13.97,113.3,55.2,11.85
Ivory Coast,Africa,78,78,2,8,41,48,52,64,60,53,36,22,17,15,22,3,0,0,64,53,35.74,99.8,9.3,3.32
Croatia,Europe,5,5,0,0,3,1,16,11,0,0,0,0,0,0,0,67,78,69,0,0,9.0,96.5,67.9,6.93
Cuba,America,2,2,1,1,10,10,20,15,100,98,95,98,85,86,0,0,0,0,0,0,10.17,101.9,41.4,1.64
Cyprus,Europe,1,2,0,1,2,2,6,8,0,0,0,0,0,0,0,0,56,63,0,0,10.46,99.3,75.9,7.27
Czech Republic,Europe,10,10,1,0,1,2,3,3,0,0,0,0,0,0,0,0,79,80,0,0,10.7,100.7,64.1,1.93
North Korea,Asia,0,0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,13.89,112.8,27.0,2.74
Democratic Republic of the Congo,Africa,0,0,0,0,0,0,0,0,67,66,58,52,36,27,0,0,0,0,0,0,41.18,108.0,6.6,4.24
Denmark,Europe,2,2,1,0,0,1,11,9,0,0,0,0,0,0,0,0,84,85,0,0,10.6,101.3,80.6,4.91
Djibouti,Africa,85,88,32,35,48,48,66,67,0,0,0,0,0,0,0,0,0,0,0,0,21.47,75.3,5.3,10.3
Dominica,America,21,7,4,3,3,1,19,17,0,0,0,0,0,0,0,0,0,0,0,0,12.0,114.7,7.2,0.0
Dominican Republic,America,7,6,4,4,6,6,23,21,88,94,76,89,48,66,21,12,21,9,0,0,19.51,105.7,59.9,5.84
Ecuador,America,8,3,0,0,6,3,20,18,98,98,89,92,78,79,38,48,49,29,0,0,19.72,103.3,44.9,3.97
